0.25872,1.5994
0.353092,1.599
0.437757,1.6008
0.538492,1.598
0.63253,1.598
0.729044,1.5978
0.826928,1.5942
0.929068,1.5934
1.02703,1.5912
1.16743,1.5918
1.24967,1.593
1.33895,1.5924
1.43374,1.591
1.52789,1.592
1.62818,1.5936
1.72559,1.5908
1.82372,1.5926
1.92316,1.594
2.02341,1.5938
2.15342,1.5922
2.24028,1.5928
2.32789,1.5928
2.42625,1.593
2.52206,1.5926
2.6256,1.5932
2.72176,1.596
2.81843,1.5938
2.91957,1.594
3.05034,1.5924
3.14071,1.5932
3.22752,1.594
3.32277,1.595
3.42247,1.5938
3.51721,1.5926
3.61539,1.5972
3.71777,1.594
3.81519,1.5954
3.95332,1.595
4.04311,1.595
4.13301,1.595
4.22473,1.5944
4.31639,1.5948
4.4148,1.5952
4.51446,1.5948
4.61568,1.5948
4.71192,1.594
4.85052,1.5938
4.93791,1.5958
5.03494,1.5966
5.12658,1.5958
5.21924,1.5966
5.32284,1.5956
5.42791,1.599
5.51064,1.5988
5.61069,1.5968
5.70783,1.5984
5.83846,1.5992
5.93432,1.5968
6.01936,1.598
6.11283,1.597
6.21581,1.5988
6.30996,1.6004
6.40394,1.6004
6.50355,1.598
6.60291,1.5988
6.70262,1.5966
6.83358,1.6002
6.92429,1.597
7.01166,1.5988
7.10883,1.599
7.20327,1.5988
7.30039,1.598
7.39984,1.598
7.49956,1.5984
7.59907,1.5978
7.73535,1.595
7.86628,1.592
7.91741,1.5916
8.09841,1.5926
8.17837,1.5912
8.22751,1.591
8.3015,1.5914
8.49318,1.592
8.53972,1.5914
8.7231,1.5916
8.73716,1.5934
8.84874,1.5926
8.90652,1.5916
9.09451,1.5904
9.09819,1.5924
9.34855,1.5926
9.34905,1.593
9.43891,1.5924
9.57396,1.592
9.61735,1.5932
9.76068,1.593
9.80306,1.5934
9.90109,1.5932
9.99267,1.5922
10.0937,1.5934
